,Mean,Standard Deviation,Stage Number,Rank,Best Rank
58,86.78571428571429,32.37322211649748,14,15,6
59,43.07142857142857,37.47087304201241,14,16,6
60,93.28571428571429,24.2087014209725,14,17,6
61,44.357142857142854,37.293444737757376,14,18,7
62,84.57142857142857,30.865408945739816,14,19,11
63,87.42857142857143,30.851520651835173,14,20,7
64,96.28571428571429,13.392047594580534,14,21,48
65,79.92857142857143,33.137083856770076,14,22,10
66,72.07142857142857,38.58471993218168,14,23,8
67,93.42857142857143,23.693622667334786,14,24,8
68,46.4375,47.61166972234853,16,1,1
69,53.5625,42.569015653994164,16,2,1
70,50.5,44.791182167922294,16,3,1
71,47.875,46.2856281690116,16,4,1
72,50.125,44.99288138139188,16,5,1
73,51.0625,44.72900170750516,16,6,2
74,51.6875,43.57424518852851,16,7,4
75,63.375,42.42327633504984,16,8,3
76,70.5625,43.667735157092814,16,9,4
77,90.9375,25.262295892297676,16,10,5
78,100.0,0.0,16,11,100
79,72.8125,40.79861938534195,16,12,5
80,55.375,40.995236003711454,16,13,6
81,100.0,0.0,16,14,100
82,67.625,37.476450939223156,16,15,10
83,92.6875,19.579066467786454,16,16,33
84,100.0,0.0,16,17,100
85,78.75,37.14751001076654,16,18,6
86,89.4375,28.14686649966564,16,19,6
87,73.6875,39.36959288270581,16,20,6
88,77.6875,33.67996205089905,16,21,11
89,65.0,36.062445840513924,16,22,16
90,85.25,31.061431068126915,16,23,6
91,90.4375,25.886697235259657,16,24,8
92,53.75,41.51279923108053,16,25,8
93,79.375,36.19197942914977,16,26,7
94,80.25,34.82545764236272,16,27,7
95,94.4375,21.543469863278755,16,28,11
96,90.625,25.226164492447122,16,29,12
97,80.4375,34.128376664441575,16,30,13
98,94.25,22.269654240692645,16,31,8
99,90.375,26.0117161102454,16,32,8
100,94.25,22.269654240692645,16,33,8
101,94.25,22.269654240692645,16,34,8
102,47.375,47.64566480803894,16,1,1
103,49.25,45.86461054015394,16,2,1
104,50.6875,45.43638237965254,16,3,2
105,46.1875,47.47264837514334,16,4,2
106,46.25,47.420327919574746,16,5,2
107,64.25,41.34232093146199,16,6,4
